V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
Yeni tikili,9 / 22,147 m²,4,yoxdur,98 000AZN,vasitəçi (agent),990,11 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,10 / 15,130 m²,3,var,200 000AZN,vasitəçi (agent),147,11 Avqust 2019,"28 May m.
"," Neft Akademiyası 
"," Bakı Slavyan Universiteti 
"," Nəsimi r.
",,,,,,
Yeni tikili,6 / 17,110 m²,3,yoxdur,145 000AZN,mülkiyyətçi,171,11 Avqust 2019,"Neftçi bazası 
"," Tibb Universiteti 
"," Nəsimi r.
",,,,,,,
Yeni tikili,9 / 20,185 m²,4,var,425 000AZN,vasitəçi (agent),281,10 Avqust 2019,"Neft Akademiyası 
"," 28 May m.
"," Səməd Vurğun parkı 
"," Bakı Musiqi Akademiyası 
"," Milli Konservatoriya 
"," Nəsimi r.
",,,,
Yeni tikili,18 / 20,154 m²,3,yoxdur,235 000AZN,vasitəçi (agent),410,10 Avqust 2019,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,8 / 10,60 m²,2,yoxdur,98 000AZN,vasitəçi (agent),169,10 Avqust 2019,"Gənclik m.
"," Respublika stadionu 
"," Nəsimi r.
",,,,,,,
Köhnə tikili,1 / 9,60 m²,2,var,92 000AZN,vasitəçi (agent),328,10 Avqust 2019,"İnşaatçılar m.
",,,,,,,,,
Yeni tikili,9 / 14,90 m²,2,yoxdur,194 000AZN,mülkiyyətçi,1414,Bugün 11,"Nəsimi bazarı 
"," Nəsimi r.
",,,,,,,,
Köhnə tikili,5 / 5,60 m²,3,var,84 000AZN,vasitəçi (agent),635,11 Avqust 2019,"Memar Əcəmi m.
"," Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,,
Köhnə tikili,2 / 5,65 m²,2,var,94 000AZN,vasitəçi (agent),158,11 Avqust 2019,"Azadlıq Prospekti m.
"," Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,
Yeni tikili,1 / 4,68 m²,3,yoxdur,49 000AZN,vasitəçi (agent),1298,11 Avqust 2019,"Abşeron r.
"," Masazır q.
",,,,,,,,
Yeni tikili,8 / 17,350 m²,4,yoxdur,550 000AZN,mülkiyyətçi,152,11 Avqust 2019,"Nəsimi bazarı 
"," Koala parkı 
"," Nəsimi r.
",,,,,,,
Yeni tikili,15 / 16,58 m²,2,yoxdur,67 000AZN,vasitəçi (agent),328,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
",,,,,,,
Yeni tikili,7 / 17,160 m²,3,var,340 000AZN,vasitəçi (agent),1362,10 Avqust 2019,"Cavanşir körpüsü 
"," Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,
Yeni tikili,7 / 11,85 m²,3,yoxdur,60 500AZN,mülkiyyətçi,290,10 Avqust 2019,"Xırdalan
",,,,,,,,,
Yeni tikili,21 / 22,144 m²,2,yoxdur,172 000AZN,vasitəçi (agent),110,10 Avqust 2019,"Yasamal bazarı 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,
Köhnə tikili,2 / 5,50 m²,2,var,71 000AZN,vasitəçi (agent),204,Dünən 11,"Memar Əcəmi m.
"," Nəsimi r.
"," 3-cü mikrorayon q.
",,,,,,,
Yeni tikili,14 / 19,88 m²,2,var,116 000AZN,vasitəçi (agent),618,10 Avqust 2019,"Həzi Aslanov m.
"," Xətai r.
",,,,,,,,
Yeni tikili,9 / 19,101 m²,2,yoxdur,97 000AZN,mülkiyyətçi,184,11 Avqust 2019,"Bakı Asiya Universiteti 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,15 / 17,105 m²,3,var,155 000AZN,vasitəçi (agent),171,11 Avqust 2019,"Yasamal bazarı 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,
Yeni tikili,6 / 16,94 m²,2,yoxdur,125 000AZN,mülkiyyətçi,254,11 Avqust 2019,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,9 / 9,85 m²,3,var,125 000AZN,vasitəçi (agent),147,10 Avqust 2019,"Memar Əcəmi m.
"," Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,
Yeni tikili,3 / 16,103 m²,3,var,215 000AZN,vasitəçi (agent),104,10 Avqust 2019,"Yasamal bazarı 
"," İnşaatçılar m.
"," Yasamal r.
",,,,,,,
Köhnə tikili,3 / 5,33 m²,1,var,59 000AZN,vasitəçi (agent),219,10 Avqust 2019,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,,
Köhnə tikili,3 / 9,60 m²,3,var,98 000AZN,vasitəçi (agent),285,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,4 / 6,43 m²,1,yoxdur,38 000AZN,vasitəçi (agent),167,Dünən 11,"Xırdalan
",,,,,,,,,
Köhnə tikili,9 / 9,80 m²,3,var,112 000AZN,mülkiyyətçi,1267,21 İyul 2019,"Binəqədi r.
",,,,,,,,,
Yeni tikili,14 / 22,103 m²,2,yoxdur,82 400AZN,vasitəçi (agent),705,11 Avqust 2019,"Yasamal r.
",,,,,,,,,
Köhnə tikili,2 / 5,65 m²,3,var,107 000AZN,vasitəçi (agent),145,11 Avqust 2019,"Yasamal bazarı 
"," İnşaatçılar m.
"," Yasamal r.
",,,,,,,
Yeni tikili,9 / 13,56.4 m²,1,var,67 000AZN,mülkiyyətçi,307,11 Avqust 2019,"Qara Qarayev m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,,,
Köhnə tikili,8 / 9,30 m²,1,yoxdur,60 000AZN,vasitəçi (agent),218,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,14 / 17,145 m²,4,var,160 000AZN,mülkiyyətçi,172,10 Avqust 2019,"Xalqlar Dostluğu m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,,,
Yeni tikili,18 / 19,108 m²,3,var,320 000AZN,vasitəçi (agent),92,10 Avqust 2019,"Dostluq kinoteatrı 
"," Koala parkı 
"," Azərbaycan Dillər Universiteti 
"," Nəsimi r.
",,,,,,
Köhnə tikili,8 / 10,90 m²,3,var,128 000AZN,vasitəçi (agent),327,10 Avqust 2019,"Şəhidlər xiyabanı 
"," Səbail r.
",,,,,,,,
Yeni tikili,14 / 18,85 m²,2,var,130 000AZN,vasitəçi (agent),441,Dünən 11,"Memar Əcəmi m.
"," Nəsimi r.
",,,,,,,,
Köhnə tikili,2 / 5,48 m²,3,var,78 000AZN,vasitəçi (agent),652,11 Avqust 2019,"Memar Əcəmi m.
"," Nəsimi r.
"," 2-ci mikrorayon q.
",,,,,,,
Köhnə tikili,2 / 5,70 m²,3,var,87 000AZN,vasitəçi (agent),138,11 Avqust 2019,"Gəncə
",,,,,,,,,
Yeni tikili,2 / 16,190 m²,4,var,245 000AZN,vasitəçi (agent),145,11 Avqust 2019,"Nərimanov heykəli 
"," Sovetski 
"," Space TV 
"," Yasamal r.
",,,,,,
Yeni tikili,14 / 17,165 m²,4,var,299 000AZN,vasitəçi (agent),415,11 Avqust 2019,"Şərq bazarı 
"," Nərimanov r.
",,,,,,,,
Köhnə tikili,2 / 9,145 m²,4,var,145 000AZN,vasitəçi (agent),269,10 Avqust 2019,"Ayna Sultanova heykəli 
",,,,,,,,,
Yeni tikili,15 / 18,90.5 m²,2,var,140 000AZN,mülkiyyətçi,4470,10 Avqust 2019,"20 Yanvar m.
"," Nəsimi r.
",,,,,,,,
Yeni tikili,2 / 12,150 m²,4,var,200 000AZN,vasitəçi (agent),126,10 Avqust 2019,"Xalqlar Dostluğu m.
"," Nizami r.
",,,,,,,,
Yeni tikili,12 / 16,100 m²,3,yoxdur,94 000AZN,vasitəçi (agent),189,10 Avqust 2019,"Nizami r.
"," 8-ci kilometr q.
",,,,,,,,
Yeni tikili,8 / 12,74 m²,2,var,125 000AZN,mülkiyyətçi,3153,Bugün 11,"Memar Əcəmi m.
"," Nəsimi r.
"," 3-cü mikrorayon q.
",,,,,,,
Yeni tikili,7 / 9,90 m²,3,var,74 000AZN,vasitəçi (agent),166,11 Avqust 2019,"Abşeron r.
"," Masazır q.
",,,,,,,,
Yeni tikili,10 / 19,100 m²,3,yoxdur,129 000AZN,vasitəçi (agent),580,Dünən 15,"İdman kompleksi 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,12 / 16,123 m²,3,yoxdur,165 000AZN,vasitəçi (agent),137,11 Avqust 2019,"Tibb Universiteti 
"," Nəsimi r.
",,,,,,,,
Köhnə tikili,3 / 9,51 m²,2,var,85 000AZN,mülkiyyətçi,287,11 Avqust 2019,"Zərifə Əliyeva adına park 
"," Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,
Köhnə tikili,3 / 4,110 m²,4,var,440 000AZN,vasitəçi (agent),161,10 Avqust 2019,"Sahil m.
"," Sahil bağı 
"," Malokan bağı 
"," Xalça Muzeyi 
"," Nizami kinoteatrı 
"," Pedaqoji Universiteti 
"," Səbail r.
",,,
Yeni tikili,4 / 17,52.5 m²,2,yoxdur,60 000AZN,vasitəçi (agent),233,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,6 / 14,303 m²,6,var,1 000 000AZN,vasitəçi (agent),176,10 Avqust 2019,"Azərbaycan Dillər Universiteti 
"," Bakı Slavyan Universiteti 
"," Sirk 
"," 28 May m.
"," Nəsimi r.
",,,,,
Köhnə tikili,3 / 9,60 m²,2,var,105 000AZN,vasitəçi (agent),390,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,9 / 11,190 m²,4,var,389 000AZN,mülkiyyətçi,1278,Bugün 10,"Şah İsmayıl Xətai m.
"," Cavanşir körpüsü 
"," Xətai r.
",,,,,,,
Yeni tikili,11 / 16,97 m²,2,yoxdur,97 000AZN,vasitəçi (agent),168,11 Avqust 2019,"Dərnəgül m.
"," Binəqədi r.
",,,,,,,,
Yeni tikili,7 / 13,100 m²,3,yoxdur,125 000AZN,vasitəçi (agent),132,11 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,4 / 16,148 m²,3,var,270 000AZN,vasitəçi (agent),123,11 Avqust 2019,"Nərimanov heykəli 
"," Sovetski 
"," Yasamal r.
"," Yasamal q.
",,,,,,
Köhnə tikili,1 / 4,50 m²,2,var,55 000AZN,mülkiyyətçi,223,11 Avqust 2019,"Qaradağ r.
"," Lökbatan q.
",,,,,,,,
Yeni tikili,7 / 18,68 m²,1,yoxdur,76 000AZN,vasitəçi (agent),2060,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,9 / 17,136 m²,3,var,257 000AZN,mülkiyyətçi,240,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,7 / 16,120 m²,3,yoxdur,198 000AZN,vasitəçi (agent),138,10 Avqust 2019,"Elmlər Akademiyası m.
"," Yasamal r.
"," Yasamal q.
",,,,,,,
Köhnə tikili,7 / 9,95 m²,3,var,135 000AZN,vasitəçi (agent),396,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,5 / 16,211 m²,4,var,316 500AZN,vasitəçi (agent),1399,Bugün 10,"Cavanşir körpüsü 
"," Xətai r.
",,,,,,,,
Köhnə tikili,4 / 9,100 m²,4,var,132 000AZN,vasitəçi (agent),188,11 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
Yeni tikili,5 / 22,147 m²,4,yoxdur,101 000AZN,vasitəçi (agent),366,11 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,12 / 17,102 m²,2,yoxdur,112 200AZN,mülkiyyətçi,899,11 Avqust 2019,"Neftçilər m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,,,
Yeni tikili,15 / 17,100 m²,2,yoxdur,180 000AZN,vasitəçi (agent),247,11 Avqust 2019,"Koala parkı 
"," Dostluq kinoteatrı 
"," Zoopark 
"," Nəsimi bazarı 
"," Nəsimi r.
",,,,,
Köhnə tikili,1 / 9,60 m²,2,var,88 000AZN,vasitəçi (agent),612,10 Avqust 2019,"Nəriman Nərimanov m.
"," Nəriman Nərimanov parkı 
"," Nərimanov r.
",,,,,,,
Yeni tikili,6 / 12,73 m²,2,yoxdur,115 000AZN,vasitəçi (agent),123,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,8 / 16,300 m²,4,var,500 000AZN,vasitəçi (agent),212,10 Avqust 2019,"Zoopark 
"," Dostluq kinoteatrı 
"," Nərimanov r.
",,,,,,,
Yeni tikili,10 / 15,213 m²,4,yoxdur,700 000AZN,vasitəçi (agent),129,10 Avqust 2019,"Axundov bağı 
"," İqsadiyyat Universiteti 
"," Dövlət İdarəçilik Akademiyası 
"," İçəri Şəhər m.
"," Prezident parkı 
"," Qubernator parkı 
"," M.Ə.Sabir parkı 
"," Sovetski 
"," Nərimanov heykəli 
"," Səbail r.
"
Yeni tikili,7 / 16,184 m²,4,var,230 000AZN,vasitəçi (agent),2944,Bugün 10,"Şərq bazarı 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,10 / 17,97 m²,2,yoxdur,96 000AZN,vasitəçi (agent),148,11 Avqust 2019,"Dərnəgül m.
"," Binəqədi r.
"," 7-ci mikrorayon q.
",,,,,,,
Köhnə tikili,2 / 5,66 m²,2,var,94 000AZN,mülkiyyətçi,171,11 Avqust 2019,"Azadlıq Prospekti m.
"," Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,
Yeni tikili,6 / 17,110 m²,3,yoxdur,149 000AZN,vasitəçi (agent),705,11 Avqust 2019,"Qara Qarayev m.
"," Nizami r.
",,,,,,,,
Yeni tikili,5 / 10,45 m²,2,var,40 000AZN,mülkiyyətçi,229,11 Avqust 2019,"Abşeron r.
"," Masazır q.
",,,,,,,,
Yeni tikili,7 / 18,71 m²,2,var,255 000AZN,vasitəçi (agent),151,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,14 / 19,88 m²,2,yoxdur,68 000AZN,vasitəçi (agent),136,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,15 / 17,230 m²,4,var,322 000AZN,vasitəçi (agent),110,10 Avqust 2019,"Bakı Slavyan Universiteti 
"," Azərbaycan Dillər Universiteti 
"," 28 May m.
"," Nəsimi r.
",,,,,,
Köhnə tikili,7 / 10,70 m²,3,var,120 000AZN,vasitəçi (agent),358,10 Avqust 2019,"Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,5 / 16,177 m²,4,var,260 000AZN,vasitəçi (agent),2968,Bugün 10,"Tibb Universiteti 
",,,,,,,,,
Köhnə tikili,1 / 9,118 m²,4,var,160 000AZN,mülkiyyətçi,148,11 Avqust 2019,"Nəsimi m.
"," Zərifə Əliyeva adına park 
"," Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,
Yeni tikili,7 / 22,73 m²,1,yoxdur,57 000AZN,vasitəçi (agent),345,11 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,3 / 16,133.2 m²,3,yoxdur,119 000AZN,vasitəçi (agent),826,11 Avqust 2019,"Neftçilər m.
"," Nizami r.
",,,,,,,,
Köhnə tikili,8 / 9,60 m²,2,var,98 000AZN,vasitəçi (agent),533,11 Avqust 2019,"Neftçi bazası 
"," TQDK 
"," Nəsimi r.
",,,,,,,
Yeni tikili,16 / 18,69 m²,2,var,155 000AZN,vasitəçi (agent),129,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,5 / 21,200 m²,3,var,600 000AZN,vasitəçi (agent),669,09 Avqust 2019,"Şah İsmayıl Xətai m.
"," Səbail r.
",,,,,,,,
Yeni tikili,12 / 18,180 m²,4,yoxdur,220 000AZN,vasitəçi (agent),127,10 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
",,,,,,,
Yeni tikili,2 / 5,72 m²,3,yoxdur,66 000AZN,vasitəçi (agent),68,10 Avqust 2019,"Xırdalan
",,,,,,,,,
Yeni tikili,9 / 16,237 m²,4,yoxdur,320 000AZN,vasitəçi (agent),1988,Bugün 10,"Təhsil Nazirliyi 
"," Nərimanov r.
",,,,,,,,
Köhnə tikili,2 / 5,48 m²,2,var,88 000AZN,vasitəçi (agent),242,11 Avqust 2019,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,15 / 17,221 m²,4,var,550 000AZN,mülkiyyətçi,809,26 İyul 2019,"Nəsimi bazarı 
"," Koala parkı 
"," Nəsimi r.
",,,,,,,
Köhnə tikili,4 / 5,65 m²,3,var,116 500AZN,vasitəçi (agent),162,11 Avqust 2019,"Nəsimi bazarı 
"," Koala parkı 
"," Dostluq kinoteatrı 
"," Nərimanov r.
",,,,,,
Yeni tikili,3 / 18,90 m²,2,yoxdur,90 000AZN,vasitəçi (agent),538,09 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Köhnə tikili,5 / 9,70 m²,3,var,100 000AZN,vasitəçi (agent),170,10 Avqust 2019,"Xətai r.
",,,,,,,,,
Köhnə tikili,3 / 5,40 m²,2,var,79 000AZN,vasitəçi (agent),620,Dünən 16,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,5 / 5,90 m²,2,var,160 000AZN,vasitəçi (agent),105,10 Avqust 2019,"Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,,,
Köhnə tikili,9 / 10,90 m²,3,var,139 000AZN,vasitəçi (agent),376,10 Avqust 2019,"Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,,
Köhnə tikili,5 / 5,210 m²,4,var,410 000AZN,vasitəçi (agent),2235,Bugün 10,"Texniki Universiteti 
"," Space TV 
"," Hüseyn Cavid parkı 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,
Köhnə tikili,4 / 5,100 m²,4,var,150 000AZN,vasitəçi (agent),196,11 Avqust 2019,"Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,,
Yeni tikili,10 / 17,87 m²,2,var,135 000AZN,vasitəçi (agent),201,11 Avqust 2019,"Ayna Sultanova heykəli 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,9 / 17,112 m²,3,yoxdur,133 000AZN,vasitəçi (agent),418,11 Avqust 2019,"Nizami r.
",,,,,,,,,
Yeni tikili,14 / 18,107 m²,3,yoxdur,220 000AZN,mülkiyyətçi,836,28 İyul 2019,"Bakı Asiya Universiteti 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,11 / 17,120 m²,3,var,245 000AZN,vasitəçi (agent),174,10 Avqust 2019,"TQDK 
"," Nəsimi r.
",,,,,,,,
Köhnə tikili,9 / 9,62 m²,2,var,79 000AZN,mülkiyyətçi,870,01 Avqust 2019,"Azadlıq Prospekti m.
"," Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,
Yeni tikili,18 / 22,123 m²,3,yoxdur,130 000AZN,vasitəçi (agent),116,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Köhnə tikili,4 / 9,120 m²,4,var,144 000AZN,vasitəçi (agent),865,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,11 / 16,170 m²,3,var,240 000AZN,vasitəçi (agent),1700,Bugün 10,"İnşaatçılar m.
",,,,,,,,,
Yeni tikili,9 / 17,87 m²,2,yoxdur,110 000AZN,vasitəçi (agent),182,11 Avqust 2019,"Həzi Aslanov m.
"," Xətai r.
"," Əhmədli q.
",,,,,,,
Köhnə tikili,3 / 5,75 m²,3,yoxdur,85 000AZN,vasitəçi (agent),314,11 Avqust 2019,"Nəsimi r.
"," 4-cü mikrorayon q.
",,,,,,,,
Köhnə tikili,6 / 9,75 m²,3,var,100 000AZN,vasitəçi (agent),207,11 Avqust 2019,"Xalqlar Dostluğu m.
"," Xətai r.
"," Əhmədli q.
",,,,,,,
Yeni tikili,6 / 16,54 m²,2,var,130 000AZN,mülkiyyətçi,165,11 Avqust 2019,"20 Yanvar m.
"," Yasamal r.
"," Yasamal q.
",,,,,,,
Yeni tikili,6 / 12,121 m²,3,var,178 000AZN,mülkiyyətçi,638,02 Avqust 2019,"Zərifə Əliyeva adına park 
"," Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,
Yeni tikili,4 / 18,202 m²,4,var,303 000AZN,mülkiyyətçi,207,10 Avqust 2019,"Nəriman Nərimanov parkı 
"," Nəriman Nərimanov m.
"," Rəssamlıq Akademiyası 
"," Nərimanov r.
",,,,,,
Köhnə tikili,3 / 5,35 m²,1,var,57 000AZN,vasitəçi (agent),450,10 Avqust 2019,"Dövlət Statistika Komitəsi 
"," İncəsənət və Mədəniyyət Un. 
"," İzmir parkı 
"," Yasamal r.
",,,,,,
Köhnə tikili,5 / 5,65 m²,3,var,130 000AZN,vasitəçi (agent),126,10 Avqust 2019,"Nəriman Nərimanov parkı 
"," Rəssamlıq Akademiyası 
"," Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,
Yeni tikili,5 / 14,132 m²,3,yoxdur,227 000AZN,vasitəçi (agent),1349,Bugün 10,"İnşaatçılar m.
",,,,,,,,,
Köhnə tikili,1 / 2,35 m²,2,var,78 500AZN,vasitəçi (agent),938,Dünən 20,"Pedaqoji Universiteti 
"," Malokan bağı 
"," Sahil bağı 
"," Milli Konservatoriya 
"," Nizami kinoteatrı 
"," Bakı Musiqi Akademiyası 
"," Neft Akademiyası 
"," Sahil m.
"," 28 May m.
"," Nəsimi r.
"
Yeni tikili,5 / 7,151.5 m²,4,yoxdur,247 000AZN,mülkiyyətçi,214,11 Avqust 2019,"Nəriman Nərimanov m.
"," Nəriman Nərimanov parkı 
"," Nərimanov r.
",,,,,,,
Yeni tikili,2 / 17,111 m²,3,yoxdur,105 000AZN,vasitəçi (agent),631,11 Avqust 2019,"Nizami r.
",,,,,,,,,
Köhnə tikili,2 / 5,55 m²,2,var,79 000AZN,vasitəçi (agent),442,11 Avqust 2019,"İncəsənət və Mədəniyyət Un. 
"," Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,
Yeni tikili,6 / 13,85 m²,2,var,118 000AZN,vasitəçi (agent),245,10 Avqust 2019,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Yeni tikili,13 / 19,88 m²,2,yoxdur,67 000AZN,vasitəçi (agent),140,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Köhnə tikili,9 / 9,80 m²,3,var,91 000AZN,vasitəçi (agent),1723,10 Avqust 2019,"Azadlıq Prospekti m.
"," Binəqədi r.
"," 8-ci mikrorayon q.
",,,,,,,
Köhnə tikili,7 / 9,90 m²,3,var,120 000AZN,vasitəçi (agent),215,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,6 / 16,205 m²,4,var,315 000AZN,vasitəçi (agent),1883,Bugün 10,"Yasamal bazarı 
",,,,,,,,,
Yeni tikili,10 / 16,116 m²,3,yoxdur,165 000AZN,vasitəçi (agent),198,11 Avqust 2019,"Nizami r.
"," 8-ci kilometr q.
",,,,,,,,
Yeni tikili,18 / 18,86 m²,2,var,117 000AZN,vasitəçi (agent),140,Dünən 15,"Binəqədi r.
"," 7-ci mikrorayon q.
",,,,,,,,
Köhnə tikili,3 / 5,130 m²,5,var,177 000AZN,mülkiyyətçi,207,10 Avqust 2019,"Ayna Sultanova heykəli 
"," Binəqədi r.
",,,,,,,,
Yeni tikili,9 / 16,140 m²,3,yoxdur,189 000AZN,vasitəçi (agent),275,11 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,16 / 19,90 m²,2,var,86 000AZN,mülkiyyətçi,216,10 Avqust 2019,"Koala parkı 
"," Dostluq kinoteatrı 
"," Nəsimi bazarı 
"," Zoopark 
"," Sabunçu r.
"," Bakıxanov q.
",,,,
Yeni tikili,16 / 20,53.5 m²,2,var,68 500AZN,vasitəçi (agent),210,Dünən 12,"Yasamal r.
",,,,,,,,,
Yeni tikili,10 / 20,140 m²,3,var,200 000AZN,vasitəçi (agent),183,10 Avqust 2019,"Nəriman Nərimanov m.
"," Nərimanov r.
",,,,,,,,
Köhnə tikili,6 / 9,70 m²,3,var,130 000AZN,vasitəçi (agent),227,10 Avqust 2019,"Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,4 / 16,104 m²,3,var,220 000AZN,mülkiyyətçi,11845,Bugün 11,"Ağ şəhər 
"," Xətai r.
",,,,,,,,
Yeni tikili,12 / 18,210 m²,4,var,650 000AZN,vasitəçi (agent),876,11 Avqust 2019,"Nəsimi bazarı 
"," Koala parkı 
"," Dostluq kinoteatrı 
"," Park Zorge 
"," Nəsimi r.
",,,,,
Yeni tikili,10 / 17,84.3 m²,3,yoxdur,156 500AZN,mülkiyyətçi,307,11 Avqust 2019,"Təhsil Nazirliyi 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,13 / 15,120 m²,3,yoxdur,131 000AZN,vasitəçi (agent),591,11 Avqust 2019,"Nizami r.
",,,,,,,,,
Yeni tikili,10 / 18,75 m²,3,yoxdur,145 000AZN,mülkiyyətçi,1141,Dünən 23,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,18 / 18,47 m²,1,yoxdur,55 000AZN,mülkiyyətçi,724,10 Avqust 2019,"Nəsimi r.
"," 3-cü mikrorayon q.
",,,,,,,,
Yeni tikili,15 / 17,110 m²,2,yoxdur,130 000AZN,vasitəçi (agent),141,10 Avqust 2019,"Nizami r.
",,,,,,,,,
Yeni tikili,16 / 17,128 m²,4,var,139 000AZN,vasitəçi (agent),126,10 Avqust 2019,"Həzi Aslanov m.
"," Xətai r.
",,,,,,,,
Yeni tikili,18 / 18,60 m²,1,yoxdur,60 000AZN,vasitəçi (agent),511,10 Avqust 2019,"Binəqədi r.
"," 9-cu mikrorayon q.
",,,,,,,,
