V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
Yeni tikili,6 / 18,152 m²,4,yoxdur,295 000AZN,vasitəçi (agent),122,10 Avqust 2019,"Yasamal r.
",,,,,,,,,
Yeni tikili,8 / 18,217 m²,4,var,295 000AZN,vasitəçi (agent),247,10 Avqust 2019,"İdman kompleksi 
"," Yasamal r.
",,,,,,,,
Yeni tikili,16 / 17,107.5 m²,3,yoxdur,138 000AZN,mülkiyyətçi,2328,11 Avqust 2019,"Qara Qarayev m.
"," Nizami r.
",,,,,,,,
Köhnə tikili,4 / 5,30 m²,1,var,59 750AZN,mülkiyyətçi,253,Dünən 00,"Səbail r.
"," Bayıl q.
",,,,,,,,
Yeni tikili,13 / 14,110 m²,3,var,300 000AZN,vasitəçi (agent),150,11 Avqust 2019,"Axundov bağı 
"," İqsadiyyat Universiteti 
"," Dövlət İdarəçilik Akademiyası 
"," Sovetski 
"," İçəri Şəhər m.
"," Nərimanov heykəli 
"," Prezident parkı 
"," Qubernator parkı 
"," M.Ə.Sabir parkı 
"," Səbail r.
"
Yeni tikili,15 / 17,157 m²,4,var,280 000AZN,vasitəçi (agent),650,11 Avqust 2019,"Rəssamlıq Akademiyası 
"," Nərimanov r.
",,,,,,,,
Yeni tikili,12 / 13,70 m²,2,var,89 000AZN,mülkiyyətçi,167,11 Avqust 2019,"Ukrayna dairəsi 
"," Həzi Aslanov m.
"," Xətai r.
"," Əhmədli q.
",,,,,,
Köhnə tikili,5 / 5,45 m²,1,var,85 000AZN,vasitəçi (agent),289,10 Avqust 2019,"Səməd Vurğun parkı 
"," Port Baku 
"," 28 May m.
"," Səbail r.
",,,,,,
Yeni tikili,13 / 14,85 m²,2,yoxdur,102 000AZN,vasitəçi (agent),143,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,7 / 12,56 m²,2,var,58 000AZN,vasitəçi (agent),123,10 Avqust 2019,"Sumqayıt
",,,,,,,,,
Yeni tikili,5 / 15,103 m²,3,yoxdur,200 000AZN,vasitəçi (agent),304,10 Avqust 2019,"Elmlər Akademiyası m.
"," Yasamal r.
",,,,,,,,
